kmesh,DZ,TZ,QZ
111,-927.9457794260,-928.1914758937,-928.2583846855
222,-927.9441032749,-928.1894943334,-928.2563781809
333,-927.9441096747,-928.1895009953,-928.2563831711
444,-927.9441097136,-928.1895010492,-928.2563831962
