kmesh,DZ,TZ,QZ
111,-927.9457794252,-928.1914758930,-928.2583846847
222,-927.9441032741,-928.1894943327,-928.2563781776
333,-927.9441096739,-928.1895009947,-928.2563831703
444,-927.9441097128,-928.1895010485,-928.2563831954
